Fecha,SPEI,Zona
1938-05-16,0.78591585,Sevilla
1938-06-16,-1.0167713,Sevilla
1938-07-16,-0.26246583,Sevilla
1938-08-16,-0.06541796,Sevilla
1938-09-16,1.1427546,Sevilla
1938-10-16,-0.87359685,Sevilla
1938-11-16,-1.1292853,Sevilla
1938-12-16,0.9236829,Sevilla
1939-01-16,0.65475047,Sevilla
1939-02-15,-0.50362897,Sevilla
1939-03-16,-0.432763,Sevilla
1939-04-16,0.33190325,Sevilla
1939-05-16,-0.21381658,Sevilla
1939-06-16,1.6340032,Sevilla
1939-07-16,0.2758773,Sevilla
1939-08-16,0.59066516,Sevilla
1939-09-16,1.2132587,Sevilla
1939-10-16,1.7745839,Sevilla
1939-11-16,0.272121,Sevilla
1939-12-16,0.6393412,Sevilla
1940-01-16,1.3379712,Sevilla
1940-02-15,0.29957843,Sevilla
1940-03-16,0.050121494,Sevilla
1940-04-16,-0.9122415,Sevilla
1940-05-16,-0.2199576,Sevilla
1940-06-16,0.841359,Sevilla
1940-07-16,0.4448389,Sevilla
1940-08-16,-0.15152441,Sevilla
1940-09-16,-0.80134046,Sevilla
1940-10-16,1.2104739,Sevilla
1940-11-16,-0.4682851,Sevilla
1940-12-16,-1.3211061,Sevilla
1941-01-16,1.9024378,Sevilla
1941-02-15,1.6215236,Sevilla
1941-03-16,-0.43071175,Sevilla
1941-04-16,1.6216335,Sevilla
1941-05-16,0.5765591,Sevilla
1941-06-16,0.40679485,Sevilla
1941-07-16,1.477451,Sevilla
1941-08-16,0.17809916,Sevilla
1941-09-16,0.3358409,Sevilla
1941-10-16,-1.1634077,Sevilla
1941-11-16,0.15577504,Sevilla
1941-12-16,-0.9104696,Sevilla
1942-01-16,0.052270934,Sevilla
1942-02-15,0.058421895,Sevilla
1942-03-16,1.3481851,Sevilla
1942-04-16,1.4013906,Sevilla
1942-05-16,-0.5373925,Sevilla
1942-06-16,-0.5371971,Sevilla
1942-07-16,-0.707159,Sevilla
1942-08-16,-0.027408937,Sevilla
1942-09-16,0.993909,Sevilla
1942-10-16,1.4440714,Sevilla
1942-11-16,0.4758397,Sevilla
1942-12-16,0.32006493,Sevilla
1943-01-16,0.049749624,Sevilla
1943-02-15,-0.91932285,Sevilla
1943-03-16,1.1675316,Sevilla
1943-04-16,-0.004560758,Sevilla
1943-05-16,-0.55624187,Sevilla
1943-06-16,-1.832415,Sevilla
1943-07-16,1.160196,Sevilla
1943-08-16,-0.88044715,Sevilla
1943-09-16,0.18346478,Sevilla
1943-10-16,-0.48409432,Sevilla
1943-11-16,-1.6781669,Sevilla
1943-12-16,0.78561854,Sevilla
1944-01-16,-1.817488,Sevilla
1944-02-15,0.30825445,Sevilla
1944-03-16,-0.47594273,Sevilla
1944-04-16,-0.046929676,Sevilla
1944-05-16,-0.2538061,Sevilla
1944-06-16,0.22389495,Sevilla
1944-07-16,0.1885261,Sevilla
1944-08-16,1.2831316,Sevilla
1944-09-16,0.34647638,Sevilla
1944-10-16,-0.33007652,Sevilla
1944-11-16,-0.7714312,Sevilla
1944-12-16,-0.698607,Sevilla
1945-01-16,0.29959777,Sevilla
1945-02-15,-1.6264005,Sevilla
1945-03-16,-0.7425613,Sevilla
1945-04-16,-2.1978014,Sevilla
1945-05-16,-1.2199264,Sevilla
1945-06-16,-1.1863029,Sevilla
1945-07-16,-1.0381067,Sevilla
1945-08-16,0.048058152,Sevilla
1945-09-16,-1.8199552,Sevilla
1945-10-16,-0.8277695,Sevilla
1945-11-16,0.5465074,Sevilla
1945-12-16,0.77344894,Sevilla
1946-01-16,0.14602605,Sevilla
1946-02-15,-0.7588046,Sevilla
1946-03-16,0.98165816,Sevilla
1946-04-16,1.3612827,Sevilla
1946-05-16,1.6005259,Sevilla
1946-06-16,-0.149155,Sevilla
1946-07-16,-1.693915,Sevilla
1946-08-16,0.14122944,Sevilla
1946-09-16,-0.88124484,Sevilla
1946-10-16,-0.30288804,Sevilla
1946-11-16,0.5123193,Sevilla
1946-12-16,-0.94370425,Sevilla
1947-01-16,1.115224,Sevilla
1947-02-15,2.1448958,Sevilla
1947-03-16,1.3097997,Sevilla
1947-04-16,-1.6674154,Sevilla
1947-05-16,-0.14046241,Sevilla
1947-06-16,-0.94289833,Sevilla
1947-07-16,0.07233127,Sevilla
1947-08-16,-0.12273801,Sevilla
1947-09-16,0.08601869,Sevilla
1947-10-16,0.04383527,Sevilla
1947-11-16,-0.76191306,Sevilla
1947-12-16,0.0068220063,Sevilla
1948-01-16,1.5744323,Sevilla
1948-02-15,0.47444636,Sevilla
1948-03-16,-1.4228946,Sevilla
1948-04-16,0.47331452,Sevilla
1948-05-16,1.5420153,Sevilla
1948-06-16,-1.4364221,Sevilla
1948-07-16,-1.0768347,Sevilla
1948-08-16,-1.0527859,Sevilla
1948-09-16,-1.5928619,Sevilla
1948-10-16,-0.54712546,Sevilla
1948-11-16,-1.9351581,Sevilla
1948-12-16,0.5536672,Sevilla
1949-01-16,-0.5654816,Sevilla
1949-02-15,-1.2168384,Sevilla
1949-03-16,-0.3429649,Sevilla
1949-04-16,-0.2777199,Sevilla
1949-05-16,-0.6380236,Sevilla
1949-06-16,-0.59359884,Sevilla
1949-07-16,-0.30060145,Sevilla
1949-08-16,-0.9381627,Sevilla
1949-09-16,1.9443917,Sevilla
1949-10-16,-1.6528773,Sevilla
1949-11-16,-0.17398372,Sevilla
1949-12-16,0.3183327,Sevilla
1950-01-16,0.06734004,Sevilla
1950-02-15,-0.71364623,Sevilla
1950-03-16,-0.4780036,Sevilla
1950-04-16,-1.3130085,Sevilla
1950-05-16,0.9598696,Sevilla
1950-06-16,-0.63998413,Sevilla
1950-07-16,-0.7559189,Sevilla
1950-08-16,0.019849394,Sevilla
1950-09-16,0.49852026,Sevilla
1950-10-16,-0.5800035,Sevilla
1950-11-16,-1.2745482,Sevilla
1950-12-16,0.4606149,Sevilla
1951-01-16,0.48101893,Sevilla
1951-02-15,0.9448273,Sevilla
1951-03-16,0.78201526,Sevilla
1951-04-16,-0.70499855,Sevilla
1951-05-16,0.18273953,Sevilla
1951-06-16,-0.7593728,Sevilla
1951-07-16,0.099397026,Sevilla
1951-08-16,-0.25767624,Sevilla
1951-09-16,0.7093665,Sevilla
1951-10-16,-0.5213846,Sevilla
1951-11-16,1.664513,Sevilla
1951-12-16,-0.812084,Sevilla
1952-01-16,0.07234076,Sevilla
1952-02-15,-0.98933274,Sevilla
1952-03-16,0.97217184,Sevilla
1952-04-16,0.18546109,Sevilla
1952-05-16,1.8337332,Sevilla
1952-06-16,0.29324046,Sevilla
1952-07-16,-0.13965969,Sevilla
1952-08-16,1.8411851,Sevilla
1952-09-16,-0.31985313,Sevilla
1952-10-16,-0.032289777,Sevilla
1952-11-16,-0.53098315,Sevilla
1952-12-16,0.00484346,Sevilla
1953-01-16,0.07234081,Sevilla
1953-02-15,-0.31150633,Sevilla
1953-03-16,-0.20030561,Sevilla
1953-04-16,0.857212,Sevilla
1953-05-16,-1.6924502,Sevilla
1953-06-16,-0.01158935,Sevilla
1953-07-16,-0.5125405,Sevilla
1953-08-16,-1.4071344,Sevilla
1953-09-16,-0.88124496,Sevilla
1953-10-16,-0.04297915,Sevilla
1953-11-16,-1.3060724,Sevilla
1953-12-16,0.7693723,Sevilla
1954-01-16,-0.6516808,Sevilla
1954-02-15,-0.49066168,Sevilla
1954-03-16,0.85347027,Sevilla
1954-04-16,-0.32448578,Sevilla
1954-05-16,-1.2044938,Sevilla
1954-06-16,-0.41539732,Sevilla
1954-07-16,-0.7461668,Sevilla
1954-08-16,-0.036894895,Sevilla
1954-09-16,-1.4724607,Sevilla
